user_id,user_key,created_at,created_str,retweet_count,retweeted,favorite_count,text,tweet_id,source,hashtags,expanded_urls,posted,mentions,retweeted_status_id,in_reply_to_status_id,text_date,location,followers_count,statuses_count,lang,screen_name,favourites_count,friends_count,listed_count,description
1171155332917321730,Peacock,,2019-09-09 20:16:13,,,,,,,,,,,,,,,26,0,,peacockTV,0,97,0,#HatchingSoon
1178598747397341184,داكار في السعودية 🇸🇦,,2019-09-30 09:13:40,1,False,0,"فراس المنصوري @FirasNimri
يدعوكم لمشاهدة #داكار2020 عن قرب عبر قنوات السعودية @riyadiyatv 😍🇸🇦 https://t.co/rEhZAy740G",1213878091442987008,,['داكار2020'],,,['FirasNimri'],,,2020-01-05 17:41:04,Saudi Arabia ,3473,145,ar,dakarinsaudi,67,85,9,داكار وصل السعودية🚘! السباق الأضخم عالميًا 🗓 ٥-١٧ يناير ٢٠٢٠
1194561449189892096,Dakar Saudi Arabia,,2019-11-13 10:23:48,2,False,8,"#Dakar2020 Stage 1 winners... ⠀
Bike: Toby Price ⠀
Car: Vaidotas Zala⠀
Quad: Ignacio Casale ⠀
Truck: Anton Shibalov ⠀
SxS: Aron Domzala",1213832047095091200,,['Dakar2020'],,,,,,2020-01-05 14:38:06,Saudi Arabia,1283,60,en,Dakarinsaudi_en,17,84,17,🇸🇦Official English @dakar channel of Saudi Arabia! 📸Showing you all things #DakarInSaudi!⠀ 🗓05-17 January 2020! Arabic channel ➡️ @dakarinsaudi
20028484,Nederlander Concerts,,2009-02-04 04:53:21,0,False,0,Merry Christmas and Happy Holidays! 🎄 https://t.co/F2naDSHHMb,1209883108725514240,,[],,,,,,2019-12-25 17:06:26,,32343,6856,en,NederlanderLive,855,3040,969,Music | Concerts | Comedy | Live Entertainment
1111063441,Los Feliz Daycare,,2013-01-22 09:19:16,5,False,295,".@Twitter in trying times, you have given us hope. https://t.co/Kc4fu48rSb",1213505993562157056,,[],,,['Twitter'],,,2020-01-04 17:02:29,Affluent hillside neighborhood,115408,2703,en,LosFelizDaycare,10532,270,865,**We do not accept immunized children** Inquiries: @JDShapiro LosFelizDaycare@gmail.com
1088048818921312256,Kialo Edu,,2019-01-23 12:20:28,1,False,0,"RT @greg_rodrigo: Tech for 2020

@perusall - students not doing their readings? Integrates with Bb, free to use w/ OER textbooks &amp; your mat…",1212026660394024962,,[],,,['greg_rodrigo'],,,2019-12-31 15:04:08,,1815,77,en,KialoEdu,199,1834,13,"Kialo Edu is a custom version of Kialo (@kialohq), specifically built for educators. Teachers world-wide use it to teach critical thinking and rational debate."
961314291583303680,Esmail Corp,,2018-02-07 19:02:42,9,False,253,the plot thickens... lmfao https://t.co/Y4Id0bSx36,1213314246554992641,,[],,,,,,2020-01-04 04:20:33,our simulated reality,15323,146,en,esmailcorp,19,41,33,Making things for your brain.
82677928,CUNA,,2009-10-15 18:19:38,1,False,0,RT @Nussle: We're continuing to prioritize our cooperative superpowers in 2020! Enjoy this week's #NussleReport: https://t.co/SkYlCr2udW,1213184302516703235,,['NussleReport'],,,['Nussle'],,,2020-01-03 19:44:12,"Madison, WI & Washington, DC",15150,39220,en,CUNA,35649,3957,445,The Credit Union National Association is the most influential financial services trade association in America advocating on behalf of America's Credit Unions.
80335611,Yaffa Fredrick,,2009-10-06 16:00:29,3,False,7,Confused about the last 24 hours in US foreign policy? Let our ⁦@CNNOpinion⁩ contributors help you make sense of it… https://t.co/mLHGrrU9kJ,1213273410186469376,,[],,,['CNNOpinion'],,,2020-01-04 01:38:17,New York,1510,6858,en,yaffanyc,5000,450,37,@CNNOpinion producer. Former @AfricanCIR #PanamaPapers editor. Interrupting politics and patriarchy.
332666258,Ayanna Miller,,2011-07-10 06:28:04,2972,False,0,RT @loneamorphous: I AM SO STUPID 😭😭😭 https://t.co/JNpsYs8qXz,1213865451211628544,,[],,,['loneamorphous'],,,2020-01-05 16:50:50,"New York, NY",787,22845,en,DhatIslandGirl,24580,1944,6,@BuzzFeedNews Curation Editor • she/her/hers  • views are my own
